Ticker,P/E,P/B,P/S,PEG,Dividend,Debt/Eq
WAFD,6.86,0.91,2.12,0.98,3.57%,0.00
MIR,-,1.05,2.53,-,-,0.58
MAG,72.11,2.35,-,-,-,0.00
NEX,3.51,1.91,0.51,0.08,-,0.43
BBUC,1.09,2.76,0.13,-,1.84%,37.36
BBAR,3.30,0.54,0.64,0.10,0.82%,0.01
HTGC,17.54,1.23,5.59,3.51,11.78%,1.12
ZIP,33.02,65.15,1.98,-,-,18.94
TOWN,9.10,0.92,3.45,-,3.88%,0.13
USM,65.96,0.38,0.43,6.11,-,0.70
FORG,-,5.46,8.20,-,-,0.00
LZ,-,12.68,2.87,-,-,0.00
SAFE,-,0.27,11.26,-,11.27%,0.00
